epoch,split,aug_name,loss,accuracy,tpr_class0,tpr_class1,tpr_class2,tpr_class3,tpr_class4,tpr_class5,tpr_class6,tpr_class7,tpr_class8,tpr_class9
5,val,strong,0.3929934595921077,0.8711111111111111,0.9433333333333334,0.9966666666666667,0.765,0.764,0.518,0.845,0.974,0.8733333333333333,0.996,0.9883333333333333
6,train,strong,0.03049815887309335,0.9903703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,strong,0.35745644092404594,0.88,0.965,0.9933333333333333,0.68,0.814,0.83,0.71,0.966,0.8183333333333334,0.988,0.9916666666666667
7,train,strong,0.029692706941270533,0.9910493827160494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,strong,0.2677233796443195,0.9103703703703704,0.9033333333333333,0.9883333333333333,0.7716666666666666,0.808,0.866,0.8325,0.97,0.9566666666666667,0.978,1.0
8,train,strong,0.0314145803226181,0.9903086419753087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,strong,0.2981347234418219,0.8985185185185185,0.9333333333333333,1.0,0.715,0.762,0.884,0.7725,0.948,0.9333333333333333,0.994,1.0
9,train,strong,0.03254186076882445,0.9895061728395061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,val,strong,0.6591365532754248,0.807962962962963,0.985,1.0,0.6983333333333334,0.756,0.37,0.6975,0.96,0.5566666666666666,0.994,1.0
10,train,strong,0.024390385747415783,0.9916049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,val,strong,1.1558430996819677,0.6903703703703704,0.805,1.0,0.41833333333333333,0.53,0.398,0.4475,0.976,0.27666666666666667,0.994,1.0
